abaddho,baddho
adantamaraṇaṃ,adanta+maraṇaṃ
adantavaggo,adanta+vaggo
adassanakamyataṃ,adassana+kamyataṃ
adassanakāmo,adassana+kāmo
adayāpanno,adaya+āpanno,adaya+panno
addasanti,addasan+ti
addhabhūtasuttaṃ,addha+bhūta+suttaṃ
addhabhūtañca,addha+bhūtañ+ca
addhabhūtaṃ,addha+bhūtaṃ
addhabhūto,addha+bhūto
addhabhūtā,addha+bhūtā
addhadaṇḍakehipi,addha+daṇḍakehi
addhagate,addha+gate
addhagato,addha+gato
addhagatā,addha+gatā
addhamidaṃ,addhā+idaṃ
addhamāsaṃ,addha+māsaṃ
addhamāsikampi,addha+māsikam
addhamāsikaṃ,addha+māsikaṃ
addhamāsāpi,addha+māsā+pi
addharattaṃ,addha+rattaṃ
addhavaggo,addha+vaggo
addhuvaṃyeva,addhuvaṃ+yeva
addhānakkhamo,addhāna+khamo
addhānamaggappaṭipannaṃ,addhāna+magga+paṭipannaṃ
addhānamaggappaṭipanno,addhāna+magga+paṭipanno
addhānamaggappaṭippanno,addhāna+magga+paṭippanno
addhānapariññāsuttaṃ,addhāna+pariññā+suttaṃ
addhānapariññāya,addhāna+pariññāya
addhānañca,addhānañ+ca
addhāyasmantehi,addhā+āyasmantehi
addhāyasmā,addhā+āyasmā
adesentopi,adesento+pi
adhammacariyā,adhamma+cariyā
adhammacariyāsuttaṃ,adhamma+cariyā+suttaṃ
adhammacariyāvisamacariyā,adhamma+cariyā+visama+cariyā
adhammacariyāvisamacariyāhetu,adhamma+cariyā+visama+cariyā+hetu
adhammacariyāvisamacariyāti,adhamma+cariyā+visama+cariyā+ti
adhammacariyāya,adhamma+cariyāya
adhammacuditassa,adhamma+cuditassa
adhammacārī,adhamma+cārī
adhammagāravā,adhamma+gāravā
adhammakammāni,adhamma+kammāni,dhamma+kammāni
adhammakāro,adhamma+kāro
adhammamanuvattiya,adhammam+anuvattiya
adhammarāgarattā,adhamma+rāga+rattā
adhammarāgaṃ,adhamma+rāgaṃ
adhammarāgo,adhamma+rāgo
adhammasammataṃ,adhamma+sammataṃ
adhammasaññī,adhamma+saññī
adhammavaggo,adhamma+vaggo
adhammavādī,adhamma+vādī
adhammavādītipi,adhamma+vādī+ti+pi
adhammañca,adhammañ+ca
adhammaṭṭho,adhamma+ṭho
adhammikasuttaṃ,adhammika+suttaṃ
adhammoti,adhammo+ti
adhiccamidaṃ,adhiccam+idaṃ
adhiccasamuppannavādo,adhicca+samuppanna+vādo
adhiccasamuppannaṃ,adhicca+samuppannaṃ
adhiccasamuppannikā,adhicca+samuppannikā
adhiccasamuppanno,adhicca+samuppanno
adhiccāpattiko,adhicca+āpattiko
adhicittamanuyuttassa,adhicittam+anuyuttassa
adhicittamanuyuttena,adhicittam+anuyuttena
adhicittamanuyutto,adhicittam+anuyutto
adhicittampi,adhicittam+pi
adhicittasikkhā,adhicitta+sikkhā
adhicittasikkhāsamādānaṃ,adhicitta+sikkhā+samādānaṃ
adhicittasikkhāya,adhicitta+sikkhāya
adhidevañāṇadassanaṃ,adhideva+ñāṇa+dassanaṃ
adhigacchateva,adhigacchati+eva
adhigamasuttaṃ,adhigama+suttaṃ
adhigatasaññī,adhigata+saññī
adhigatenekaccena,adhigatena+ekaccena
adhikakkañca,adhikakkañ+ca
adhikaraṇakārako,adhikaraṇa+kārako
adhikaraṇampi,adhikaraṇam+pi
adhikaraṇanirodhagāminiṃ,adhikaraṇa+nirodha+gāminiṃ
adhikaraṇanirodhaṃ,adhikaraṇa+nirodhaṃ
adhikaraṇasamathassa,adhikaraṇa+samathassa
adhikaraṇasamathasuttaṃ,adhikaraṇa+samatha+suttaṃ
adhikaraṇasamathā,adhikaraṇa+samathā
adhikaraṇasamudayaṃ,adhikaraṇa+samudayaṃ
adhikaraṇasamuppādavūpasamakusalo,adhikaraṇa+samuppāda+vūpasama+kusalo
adhikaraṇavaggo,adhikaraṇa+vaggo
adhikasatasahassaṃ,adhika+sata+sahassaṃ
adhimattadhitimanto,adhimatta+dhitimanto
adhimattagatimanto,adhimatta+gatimanto
adhimattakasimānaṃ,adhimatta+kasimānaṃ
adhimattasatimanto,adhimatta+satimanto
adhimattāpi,adhimattā+pi
adhimuttipadāni,adhimutti+padāni
adhimānasacco,adhimāna+sacco
adhimānasuttaṃ,adhimāna+suttaṃ
adhipaññampi,adhipaññam+pi
adhipaññañca,adhipaññañ+ca
