abaddho,baddho
sokaparidevadukkhadomanassupāyāsāpi,soka+parideva+dukkha+domanassa+upāyāsā,soka+parideva+dukkha+domanassa+upāyāsā+pi
sokaparidevānaṃ,soka+paridevānaṃ
sokasabhaye,soka+sabhaye
sokasallaharaṇo,soka+salla+haraṇo
sokasallaṃ,soka+sallaṃ
sokasallena,soka+sallena
sokhummasuttaṃ,sokhumma+suttaṃ
somamavhayāma,somam+avhayāma
somanassadhātu,somanassa+dhātu
somanassadomanassānaṃ,somanassa+domanassānaṃ
somanassapaṭilābhakathā,somanassa+paṭilābha+kathā
somanassapaṭilābhaṃ,somanassa+paṭilābhaṃ
somanassapaṭilābho,somanassa+paṭilābho
somanassaṭṭhāniyaṃ,somanassa+ṭhāniyaṃ
somanassaṭṭhānīyaṃ,somanassa+ṭhānīyaṃ
somanassindriyaṃ,somanassa+indriyaṃ
somanassupavicārā,somanassa+upavicārā
somāsuttaṃ,somā+suttaṃ
sopi,so+pi
soppamacchā,soppa+macchā
soppasuttaṃ,soppa+suttaṃ
soppasīlena,soppa+sīlena
sopānakaḷevaraṃ,sopāna+kaḷevaraṃ
soraccañca,soraccañ+ca
soratasorato,sorata+sorato
sosānikasuttaṃ,sosānika+suttaṃ
sotabbañcassa,sotabbañ+ca+assa
sotadhātu,sota+dhātu
sotadhātuyā,sota+dhātuyā
sotarogo,sota+rogo
sotasamphassajā,sota+samphassajā
sotasamphassajāya,sota+samphassajāya
sotasamphassasmiṃ,sota+samphassasmiṃ
sotasamphasse,sota+samphasse
sotasamphasso,sota+samphasso
sotasamphassāyatanaṃ,sota+samphassa+āyatanaṃ
sotasamāpannā,sota+samāpannā
sotasmimpi,sotasmim+pi
sotasuttaṃ,sota+suttaṃ
sotatto,so+tatto
sotaviññeyyaṃ,sota+viññeyyaṃ
sotaviññeyyehi,sota+viññeyyehi
sotaviññeyyo,sota+viññeyyo
sotaviññeyyā,sota+viññeyyā
sotaviññeyyānaṃ,sota+viññeyyānaṃ
sotaviññāṇadhātu,sota+viññāṇa+dhātu
sotaviññāṇasmiṃ,sota+viññāṇasmiṃ
sotaviññāṇaṃ,sota+viññāṇaṃ
sotaviññāṇe,sota+viññāṇe
sotañca,sotañ+ca
sotenapi,sotena+pi
sotindriyassa,sota+indriyassa
sotindriyaṃ,sota+indriyaṃ
sotthibhāvo,sotthi+bhāvo
sotthimattānaṃ,sotthim+attānaṃ
sottisināniṃ,sotti+sināniṃ
sottiyasuttaṃ,sottiya+suttaṃ
sotukāmo,sotu+kāmo
sotukāmā,sotu+kāmā
sotumicchati,sotum+icchati
sotāpannapuggalaṃ,sotāpanna+puggalaṃ
sotāpannasuttaṃ,sotāpanna+suttaṃ
sotāpattiphalampi,sotāpatti+phalam,sotāpatti+phalam+pi
sotāpattiphalasacchikiriyā,sotāpatti+phala+sacchikiriyā
sotāpattiphalasacchikiriyāya,sotāpatti+phala+sacchikiriyāya
sotāpattiphalasamannāgato,sotāpatti+phala+samannāgato
sotāpattiphalasuttaṃ,sotāpatti+phala+suttaṃ
sotāpattiphalaṃ,sotāpatti+phalaṃ
sotāpattiphale,sotāpatti+phale
sotāpattisaṃyuttaṃ,sotāpatti+saṃyuttaṃ
sotāpattivaggo,sotāpatti+vaggo
sotāpattiyaṅgaṃ,sotāpatti+aṅgaṃ
sotāpattiyaṅgehi,sotāpatti+aṅgehi
sotāpattiyaṅgesu,sotāpatti+aṅgesu,sotāpattiyā+aṅgesu
sotāpattiyaṅgāni,sotāpatti+aṅgāni
sotāyatanaṃ,sota+āyatanaṃ
sovacassakaraṇehi,sovacassa+karaṇehi
sovaṇṇaddhajāni,sovaṇṇa+dhajāni
sovaṇṇadhajāni,sovaṇṇa+dhajāni
sovaṇṇamayassa,sovaṇṇa+mayassa
sovaṇṇamayaṃ,sovaṇṇa+mayaṃ
sovaṇṇamaye,sovaṇṇa+maye
sovaṇṇamayo,sovaṇṇa+mayo
sovaṇṇamayā,sovaṇṇa+mayā
sovaṇṇamayāni,sovaṇṇa+mayāni
sovīrānañca,sovīrānañ+ca
soyeva,so+yeva
soḷasahākārehi,soḷasahi+ākārehi
soḷasakukkuko,soḷasa+kukkuko
soḷasaparikkhāraṃ,soḷasa+parikkhāraṃ
soḷasaparikkhārāya,soḷasa+parikkhārāya
soḷasapariyāyaṃ,soḷasa+pariyāyaṃ
soḷasasamā,soḷasa+samā
soḷasasvettha,soḷasasv+ettha
soḷasavassuddesiko,soḷasa+vassa+uddesiko
soḷasavassuddesikā,soḷasa+vassa+uddesikā
soḷasavassāni,soḷasa+vassāni
soḷasākārasampannā,soḷasa+ākāra+sampannā
soṇadaṇḍaguṇakathā,soṇadaṇḍa+guṇa+kathā
soṇadaṇḍaparivitakko,soṇadaṇḍa+parivitakko
soṇadaṇḍaupāsakattapaṭivedanā,soṇadaṇḍa+upāsakatta+paṭivedanā
soṇadaṇḍopi,soṇadaṇḍo+pi
soṇakāyanasuttaṃ,soṇakāyana+suttaṃ
soṇasiṅgālā,soṇa+siṅgālā
soṇasuttaṃ,soṇa+suttaṃ
soṇḍikañca,soṇḍikañ+ca
soṇḍipañcamānaṃ,soṇḍi+pañcamānaṃ
soṇḍipañcamāni,soṇḍi+pañcamāni
soṇḍāyapi,soṇḍāya+pi
subhaddaparibbājakavatthu,subhadda+paribbājaka+vatthu
subhaddādevippamukhāni,subhaddā+devi+pamukhāni
subhaddādeviupasaṅkamanaṃ,subhaddā+devi+upasaṅkamanaṃ
subhadhātu,subha+dhātu
subhagavane,subhaga+vane
subhagavanikena,subhaga+vanikena
subhagavaniko,subhaga+vaniko
subhagāravoti,subha+gāravo+ti
subhanimittañca,subha+nimittañ+ca
subhanimittaṃ,subha+nimittaṃ
subhanimitte,subha+nimitte
subhanteva,subhan+ti+eva
subhantveva,subhan+ti+eva
subhasaññino,subha+saññino
subhasuttaṃ,subha+suttaṃ
subhaṭṭhāyino,subha+ṭhāyino
subhaṭṭhāyī,subha+ṭhāyī
subhikkhatañca,subhikkhatañ+ca
subhāsitabhāsī,subhāsita+bhāsī
subhāsitadhajā,subhāsita+dhajā
subhāsitadubbhāsitassa,subhāsita+dubbhāsitassa
subhāsitadubbhāsitaṃ,subhāsita+dubbhāsitaṃ
subhāsitadubbhāsitānamatthamaññātuṃ,subhāsita+dubbhāsitānam+attham+aññātuṃ
subhāsitajayasuttaṃ,subhāsita+jaya+suttaṃ
subhāsitamidaṃ,subhāsitam+idaṃ
subhāsitasuttaṃ,subhāsita+suttaṃ
subhāsitaṃyeva,subhāsitaṃ+yeva
subhūmidassanāyā,subhūmi+dassanāyā
subhūtisuttaṃ,subhūti+suttaṃ
subrahmasuttaṃ,subrahma+suttaṃ
sucaritakammavipākasesakena,sucarita+kamma+vipāka+sesakena
sucaritasuttaṃ,sucarita+suttaṃ
sucaritañca,sucaritañ+ca
sucibhūtena,suci+bhūtena
sucigandhaṃ,suci+gandhaṃ
sucigavesino,suci+gavesino
sucijanaparivāragaṇo,suci+jana+parivāra+gaṇo
sucikammassa,suci+kammassa
sucimpi,sucim+pi
sucintitacintī,sucintita+cintī
suciparivāro,suci+parivāro
sucirappavāsino,sucira+pavāsino
sucirasseva,sucirassa+eva
sucisusukkaṃ,suci+susukkaṃ
sucitrapupphaṃ,sucitra+pupphaṃ
suciñca,suciñ+ca
sucārurūpaṃ,sucāru+rūpaṃ
sudattasuttaṃ,su+datta+suttaṃ,sudatta+suttaṃ
sudatto,su+datto
suddadāso,sudda+dāso
suddamaṇḍalaṃ,sudda+maṇḍalaṃ
suddhakasuttaṃ,suddhaka+suttaṃ
suddhassuposatho,suddhassa+uposatho
suddhasuttaṃ,suddha+suttaṃ
suddhikabhāradvājo,suddhika+bhāradvājo
suddhikasuttaṃ,suddhika+suttaṃ
suddhikavaggo,suddhika+vaggo
suddhikañca,suddhikañ+ca
suddhikañceva,suddhikañ+ca+eva
suddhikañcāpi,suddhikañ+cā+pi
suddhimaggā,suddhi+maggā
suddhāvāsakāyikānaṃ,suddhāvāsa+kāyikānaṃ
suddhāvāse,suddha+āvāse
suddhāvāsehi,suddha+āvāsehi
suddhāvāsā,suddha+āvāsā
suddhāvāsānaṃ,suddha+āvāsānaṃ
suddopi,suddo+pi
suddāpi,suddā+pi
sudhammasabhaṃ,sudhamma+sabhaṃ
sudhotahatthapādaṃ,sudhota+hattha+pādaṃ
sugatappasatthaṃ,sugata+pasatthaṃ
sugatappavedito,sugata+pavedito
sugatavinayasuttaṃ,sugata+vinaya+suttaṃ
sugatavinayo,sugata+vinayo
sugatavinayā,sugata+vinayā
sugatigāminaṃ,sugati+gāminaṃ
sugatimupecca,sugatim+upecca
sugatiṃyeva,sugatiṃ+yeva
sugatāpadānesu,sugatā+padānesu
sugatāti,sugatā+ti
suggahitaggāhī,suggahita+gāhī
suhadamitto,suhada+mitto
suhajjakulāni,suhajja+kulāni
suhajjatopi,suhajjato+pi
suhuṭṭhitaṃ,su+uṭṭhitaṃ
sujampatīti,sujampatī+ti
suju,su+uju
sujātagatto,sujāta+gatto
sujātasuttaṃ,sujāta+suttaṃ
sukappitakesamassussa,sukappita+kesa+massussa
sukasāḷikasaddettha,suka+sāḷika+saddā+ettha
sukatadukkaṭānaṃ,sukata+dukkaṭānaṃ
sukatakammakarā,sukata+kamma+karā
sukatakammakārī,sukata+kamma+kārī
sukataphalavipākamanubhosi,sukata+phala+vipākam+anubhosi
sukataphalavipākamanubhutvā,sukata+phala+vipākam+anubhutvā
sukataphalavipākaṃ,sukata+phala+vipākaṃ
sukaṭadukkaṭānaṃ,sukaṭa+dukkaṭānaṃ
sukhabahulo,sukha+bahulo
sukhabahuloti,sukha+bahulo+ti
sukhabahulā,sukha+bahulā
sukhabahulāti,sukha+bahulā+ti
sukhadhammānaṃ,sukha+dhammānaṃ
sukhadhātu,sukha+dhātu
sukhadukkhasamuppatti,sukha+dukkha+samuppatti
sukhadukkhaṃ,sukha+dukkhaṃ
sukhadukkhe,sukha+dukkhe
sukhadukkhāya,sukha+dukkhāya
sukhadukkhī,sukha+dukkhī
sukhadukkhīsuttaṃ,sukha+dukkhī+suttaṃ
sukhajīvino,sukha+jīvino
sukhajīvī,sukha+jīvī
sukhakāmaṃ,sukha+kāmaṃ
sukhakāme,sukha+kāme
sukhakāmo,sukha+kāmo
sukhakāmā,sukha+kāmā
sukhamanubodhiṃ,sukham+anubodhiṃ
sukhamanuttaraṃ,sukham+anuttaraṃ
sukhamanuyuñjeyya,sukham+anuyuñjeyya
sukhamanuyuñjeyyā,sukham+anuyuñjeyyā
sukhamasayitthaṃ,sukham+asayitthaṃ
sukhamasayitthā,sukham+asayitthā
sukhamasmī,sukham+asmī
sukhamedhati,sukham+edhati
sukhamidaṃ,sukham+idaṃ
sukhamiti,sukham+iti
sukhampi,sukham+pi,sukhan+pi
sukhamāyatikaṃ,sukham+āyatikaṃ
sukhantipi,sukhan+ti+pi
sukhaparibhato,sukha+paribhato
sukhapaṭisaṃvedī,sukha+paṭisaṃvedī
sukhaphalaṃ,sukha+phalaṃ
sukhapharaṇatā,sukha+pharaṇatā
sukhappaṭisaṃvedī,sukha+paṭisaṃvedī
sukhapphalaṃ,sukha+phalaṃ
sukhapphalāni,sukha+phalāni
sukhasahagatā,sukha+sahagatā
sukhasammatā,sukha+sammatā
sukhasamphassañca,sukha+samphassañ+ca
sukhasayitāni,sukha+sayitāni
sukhasaññañca,sukha+saññañ+ca
sukhasaññino,sukha+saññino
sukhasaññī,sukha+saññī
sukhasaṃvattanikaṃ,sukha+saṃvattanikaṃ
sukhasaṃvāso,sukha+saṃvāso
sukhasomanassabahulo,sukha+somanassa+bahulo
sukhasomanassasuttaṃ,sukha+somanassa+suttaṃ
sukhassetaṃ,sukhassa+etaṃ
sukhassāhāro,sukhassa+āhāro
sukhassāhārā,sukhassa+āhārā
sukhasuttaṃ,sukha+suttaṃ
sukhatthā,sukha+atthā
sukhavaggo,sukha+vaggo
sukhavedaniyassa,sukha+vedaniyassa
sukhavedaniyaṃ,sukha+vedaniyaṃ
sukhavedanā,sukha+vedanā
sukhavihāritaro,sukha+vihāritaro
sukhavihārānaṃ,sukha+vihārānaṃ
sukhavihārāya,sukha+vihārāya
sukhavihārī,sukha+vihārī
sukhavihārīti,sukha+vihārī+ti
sukhavinicchayaṃ,sukha+vinicchayaṃ
sukhavipannassa,sukha+vipannassa
sukhavipākañca,sukha+vipākañ+ca
sukhavipākaṃ,sukha+vipākaṃ
sukhavipāko,sukha+vipāko
sukhavipākā,sukha+vipākā
sukhañca,sukhañ+ca
sukhañce,sukhañ+ce
sukhaṃyeva,sukhaṃ+yeva
sukhaṇo,su+khaṇo
sukhedhito,sukha+edhito
sukhenapi,sukhena+pi
sukhesino,sukha+esino
sukhindriyavaggo,sukha+indriya+vaggo
sukhindriyaṃ,sukha+indriyaṃ
sukhitasuttaṃ,sukhita+suttaṃ
sukhitañceva,sukhitañ+ca+eva
sukhudrayañca,sukha+udrayañ+ca
sukhudrayaṃ,sukha+udrayaṃ
sukhudrayo,sukha+udrayo
sukhudrayā,sukha+udrayā
sukhudrayāni,sukha+udrayāni
sukhumacchavi,sukhuma+chavi
sukhumacchavilakkhaṇaṃ,sukhuma+chavi+lakkhaṇaṃ
sukhumacchaviṃ,sukhuma+chaviṃ
sukhumacchavī,sukhuma+chavī
sukhumacchikena,sukhuma+acchikena
sukhumanayanakusalā,sukhuma+nayana+kusalā
sukhumasakkharā,sukhuma+sakkharā
sukhumattacotthatā,sukhuma+taco+otthatā
sukhumālasuttaṃ,sukhumāla+suttaṃ
sukhumālādhipateyyena,sukhumāla+ādhipateyyena
sukhānisaṃsā,sukha+ānisaṃsā
sukhāpi,sukhā+pi
sukhāvaho,sukha+āvaho
sukhāvahā,sukha+vahā,sukha+āvahā
sukhāvahāni,sukha+vahāni
sukhāvahānī,sukhā+vahānī
sukhāyapi,sukhāya+pi
sukhāyāti,sukhāyā+ti
sukkadhammasuttaṃ,sukka+dhamma+suttaṃ
sukkadhammaṃ,sukka+dhammaṃ
sukkamaggañca,sukka+maggañ+ca
sukkamaggo,sukka+maggo
sukkapakkhe,sukka+pakkhe
sukkapakkheva,sukka+pakkhā+eva
sukkasaṅkhātā,sukka+saṅkhātā
sukkasuttaṃ,sukka+suttaṃ
sukkavipākaṃ,sukka+vipākaṃ
sukkavipākā,sukka+vipākā
sukkhagūthaṃ,sukkha+gūthaṃ
sukkhagūtho,sukkha+gūtho
sukkhānipi,sukkhāni+pi
sukusalasampahaṭṭhaṃ,sukusala+sampahaṭṭhaṃ
sulabhapiṇḍaṃ,sulabha+piṇḍaṃ
sulabharūpo,sulabha+rūpo
sulabharūpā,sulabha+rūpā
sulabhañca,sulabhañ+ca
suladdhalābhā,suladdha+lābhā
sumanasuttaṃ,sumana+suttaṃ
sumanavaggo,sumana+vaggo
sumantamantino,sumanta+mantino
sumaṅgalaṃ,su+maṅgalaṃ
sumuhutto,su+muhutto
sumukho,su+mukho
sunakhehipi,sunakhehi+pi
sunakhiṃyeva,sunakhiṃ+yeva
sunakkhattasuttaṃ,sunakkhatta+suttaṃ
sunakkhattavatthu,sunakkhatta+vatthu
sunakkhattaṃ,su+nakkhattaṃ
sundarikabhāradvājassa,sundarika+bhāradvājassa
sundarikabhāradvājaṃ,sundarika+bhāradvājaṃ
sundarikabhāradvājo,sundarika+bhāradvājo
sundarikasuttaṃ,sundarika+suttaṃ
sunettaarakena,sunetta+arakena
sunettasuttaṃ,sunetta+suttaṃ
sunidhavassakāre,sunidha+vassakāre
sunidhavassakārā,sunidha+vassakārā
sunidhavassakārānaṃ,sunidha+vassakārānaṃ
supasannacitto,supasanna+citto
supassoti,supasso+ti
supatisuttaṃ,supati+suttaṃ
supatiṭṭhitacitto,supatiṭṭhita+cittā
supatiṭṭhitacittā,supatiṭṭhita+cittā
supaṇṇasaṃyuttaṃ,supaṇṇa+saṃyuttaṃ
supaṇṇayoniyo,supaṇṇa+yoniyo
supinakaupamā,supinaka+upamā
supinasatāni,supina+satāni
suppabhātaṃ,su+pabhātaṃ
suppakāsitanti,suppakāsitan+ti,suppakāsita+ti
suppakāsitāti,suppakāsitā+ti
suppatiṭṭhitacittassa,suppatiṭṭhita+cittassa
suppatiṭṭhitacitto,suppatiṭṭhita+citto,suppatiṭṭhita+cittā
suppatiṭṭhitacittā,suppatiṭṭhita+cittā
suppatiṭṭhitapādatālakkhaṇaṃ,suppatiṭṭhita+pādatā+lakkhaṇaṃ
suppatiṭṭhitapādo,suppatiṭṭhita+pādo
suppatiṭṭhitaṃyeva,suppatiṭṭhitaṃ+yeva
suppavāsāsuttaṃ,suppavāsā+suttaṃ
suppiyopi,suppiyo+pi
supubbaṇho,su+pubbaṇho
supupphitaggaṃ,supupphita+aggaṃ
surabhigandhaṃ,surabhi+gandhaṃ
suravarataroriva,sura+varataro+iva
surādhasuttaṃ,surādha+suttaṃ
surādhutto,surā+dhutto
surākathā,surā+kathā
surāmado,surā+mado
surāmaṃseneva,surā+maṃsena+eva
surāmeraya,surā+meraya
surāmerayamajjapamādaṭṭhānaṃ,surā+meraya+majja+pamāda+ṭhānaṃ
surāmerayamajjapamādaṭṭhānā,surā+meraya+majja+pamāda+ṭhānā,surā+meraya+majja+pamāda+aṭṭhānā
surāmerayamajjapamādaṭṭhāyinī,surā+meraya+majja+pamāda+ṭhāyī,surā+meraya+majja+pamāda+ṭhāyinī
surāmerayamajjapamādaṭṭhāyī,surā+meraya+majja+pamāda+ṭhāyī
surāmerayamajjappamādaṭṭhānā,surā+meraya+majja+pamāda+ṭhānā
surāmerayamajjappamādaṭṭhāyino,surā+meraya+majja+pamāda+ṭhāyino
surāmerayamajjappamādaṭṭhāyī,surā+meraya+majja+pamāda+ṭhāyī
surāmerayaodakā,surā+meraya+odakā
surāmerayapānañca,surā+meraya+pānañ+ca
surāmerayapānā,surā+meraya+pānā
surāmerayassa,surā+merayassa
surāmerayasuttaṃ,surā+meraya+suttaṃ
surāpipāsitā,surā+pipāsitā
susaddahitaṃyeva,susaddahitaṃ+yeva
susallikhitagatto,susallikhita+gatto
susamacittassa,susama+cittassa
susammuṭṭhasuttaṃ,susammuṭṭha+suttaṃ
susamāhitasaṅkappā,susamāhita+saṅkappā
susamāhitatto,susamāhita+atto
susaññatānañhi,susaññatānañ+hi
susaṃvihitakammanto,susaṃvihita+kammanto
susaṃvihitakammantā,susaṃvihita+kammantā
susaṃvutatto,susaṃvuta+atto
susaṅgahitaparijano,susaṅgahita+parijano
susimasuttaṃ,susima+suttaṃ
sussutampi,sussutam+pi
sussutaṃyeva,sussutaṃ+yeva
sussūsatisuttaṃ,sussūsati+suttaṃ
susukkadāṭho,susukka+dāṭho
susukābhayaṃ,susukā+bhayaṃ
susukāḷakeso,susukāḷa+keso,susu+kāḷa+keso
susukāḷakesā,susukāḷa+kesā
susunāgā,susu+nāgā
susīlasuttaṃ,susīla+suttaṃ
susīmasuttaṃ,susīma+suttaṃ
susīmañceva,susīmañ+ca+eva
sutadhanañca,suta+dhanañ+ca
sutadhanaṃ,suta+dhanaṃ
sutadharasuttaṃ,suta+dhara+suttaṃ
sutadharo,suta+dharo
sutajātassa,suta+jātassa
sutakavi,suta+kavi
sutakkitampi,sutakkitam+pi
sutamayā,suta+mayā
sutametaṃ,sutam+etaṃ
sutameva,sutam+eva
sutanusuttaṃ,sutanu+suttaṃ
sutanutīre,sutanu+tīre
sutaparibhāvitaṃ,suta+paribhāvitaṃ
sutapubbā,suta+pubbā
sutasampadā,suta+sampadā
sutasannicayo,suta+sannicayo
sutasuttaṃ,suta+suttaṃ
sutavantasuttaṃ,sutavanta+suttaṃ
sutavatāvuso,sutavatā+āvuso
sutavāditā,suta+vāditā
sutavādī,suta+vādī
sutavāsuttaṃ,sutavā+suttaṃ
sutañca,sutañ+ca
sutenekaccena,sutena+ekaccena
sutoyeva,suto+yeva
suttabandhanehi,sutta+bandhanehi
suttaguḷaṃ,sutta+guḷaṃ
suttaguḷe,sutta+guḷe
suttakanti,suttakan+ti
suttampi,suttam+pi
suttantasaṅkhepā,suttanta+saṅkhepā
suttantoti,suttanto+ti
suttasahassāni,sutta+sahassāni
sutvānassa,sutvāna+assa
sutvāti,sutvā+ti
sutānañca,sutānañ+ca
sutāvudhaṃ,suta+āvudhaṃ
suvaṇṇabhiṅkāraṃ,suvaṇṇa+bhiṅkāraṃ
suvaṇṇachanno,suvaṇṇa+channo
suvaṇṇacuṇṇaparipūrāya,suvaṇṇa+cuṇṇa+paripūrāya
suvaṇṇadubbaṇṇāni,suvaṇṇa+dubbaṇṇāni
suvaṇṇakārantevāsī,suvaṇṇa+kāra+antevāsī
suvaṇṇakāro,suvaṇṇa+kāro
suvaṇṇamālāya,suvaṇṇa+mālāya
suvaṇṇanikkhasatassāpi,suvaṇṇa+nikkha+satassa+pi
suvaṇṇanikkhassāpi,suvaṇṇa+nikkhassa+pi
suvaṇṇanikkhasuttādiaṭṭhakaṃ,suvaṇṇa+nikkha+sutta+ādi+aṭṭhakaṃ
suvaṇṇanikkhaṃ,suvaṇṇa+nikkhaṃ
suvaṇṇanikkho,suvaṇṇa+nikkho
suvaṇṇapātisuttaṃ,suvaṇṇa+pāti+suttaṃ
suvaṇṇapātiyāpi,suvaṇṇa+pātiyā+pi
suvaṇṇasikatāvasissanti,suvaṇṇa+sikata+āvasissanti
suvaṇṇavaṇṇalakkhaṇaṃ,suvaṇṇa+vaṇṇa+lakkhaṇaṃ
suvaṇṇavaṇṇo,suvaṇṇa+vaṇṇo
suvaṇṇavikatiṃ,suvaṇṇa+vikatiṃ
suvaṇṇañca,suvaṇṇañ+ca
suvaṇṇaṭṭhikassā,suvaṇṇa+aṭṭhikassā
suveḷuvane,suveḷu+vane
suvibhattantarāni,suvibhatta+antarāni
suvidūrasuttaṃ,suvidūra+suttaṃ
suvidūravisākhavipallāsā,suvidūra+visākha+vipallāsā
suvimuttacitto,suvimutta+citto
suvimuttanti,suvimuttan+ti
suvimuttapañño,suvimutta+pañño
suvīrasuttaṃ,suvīra+suttaṃ
suyiṭṭhaṃ,su+yiṭṭhaṃ
suññagehāni,suñña+gehāni
suññakaññeva,suññakaññ+eva
suññamagāranti,suññam+agāran+ti
suññamidaṃ,suññam+idaṃ
suññatalokasuttaṃ,suññata+loka+suttaṃ
suññatapaṭisaṃyuttā,suññata+paṭisaṃyuttā
suññatappaṭisaṃyuttā,suññata+paṭisaṃyuttā
suññatappaṭisaṃyuttānaṃ,suññata+paṭisaṃyuttānaṃ
suññatasamādhisuttaṃ,suññata+samādhi+suttaṃ
suññatavaggo,suññata+vaggo
suññatāpaṭisaṃyuttā,suññatā+paṭisaṃyuttā
suññatāppaṭisaṃyuttā,suññatā+paṭisaṃyuttā
suññatāvihārena,suññatā+vihārena
suññavane,suñña+vane
suññāgārāni,suñña+āgārāni
suṇantopi,suṇanto+pi
suṇomahaṃ,suṇomi+ahaṃ
suṇāvuso,suṇa+āvuso
svahaṃ,so+ahaṃ
svajja,su+ajja
svassa,so+assa
svedāni,sve+dāni
svepi,sve+pi
sveva,so+eva,sve+eva
svākkhātadhammo,svākkhāta+dhammo
svātanāyapi,svātanāya+pi
sācariyakoti,sācariyako+ti
sādhayye,sādhu+ayye
sādhikamidaṃ,sādhikam+idaṃ
sādhikanavuti,sādhika+navuti
sādhikaporiso,sādhika+poriso
sādhikaporisā,sādhika+porisā
sādhujīvipi,sādhu+jīvi+pi
sādhukamanurakkhissāmī,sādhukam+anurakkhissāmī
sādhukamanurakkhā,sādhukam+anurakkhā
sādhunisitassa,sādhu+nisitassa
sādhupaññassa,sādhu+paññassa
sādhurūpaṃ,sādhu+rūpaṃ
sādhurūpo,sādhu+rūpo
sādhurūpānaṃ,sādhu+rūpānaṃ
sādhusammatañhi,sādhu+sammatañ+hi
sādhusammato,sādhu+sammato
sādhusammatā,sādhu+sammatā
sādhusammatānaṃ,sādhu+sammatānaṃ
sādhusaṇṭhitā,sādhu+saṇṭhitā
sādhusuttaṃ,sādhu+suttaṃ
sādhuvaggo,sādhu+vaggo
sādhuvihāri,sādhu+vihāri
sādhuñca,sādhuñ+ca
sādhāraṇabhogī,sādhāraṇa+bhogī
sādhāvuso,sādhu+āvuso
sādhāyasmā,sādhu+āyasmā
sādurasaṃ,sādu+rasaṃ
sāgarantaṃ,sāgara+antaṃ
sāgarapariyantaṃ,sāgara+pariyantaṃ
sāhasanti,sāhasan+ti
sāhuḷicīre,sāhuḷi+cīre
sāhuḷicīrena,sāhuḷi+cīrena
sājīvasuttaṃ,sājīva+suttaṃ
sākabhakkho,sāka+bhakkho
sākacchasuttaṃ,sākaccha+suttaṃ
sākacchavaggo,sākaccha+vaggo
sākakaṭṭhaṃ,sāka+kaṭṭhaṃ
sākaṭikacintāya,sākaṭika+cintāya
sāketanidānaṃ,sāketa+nidānaṃ
sāketasuttaṃ,sāketa+suttaṃ
sākhalyañca,sākhalyañ+ca
sākhābhaṅgaṃ,sākhā+bhaṅgaṃ
sākhānagarake,sākhā+nagarake
sākhāpalāsavipanno,sākhā+palāsa+vipanno
sākhāpalāsaṃ,sākhā+palāsaṃ
sākhāpalāse,sākhā+palāse
sākhāpalāsā,sākhā+palāsā
sākhāpattapalāsena,sākhā+patta+palāsena
sālalaṭṭhi,sāla+laṭṭhi
sālalaṭṭhiyo,sāla+laṭṭhiyo
sālalaṭṭhiṃ,sāla+laṭṭhiṃ
sālamūle,sāla+mūle
sālapupphakaṃ,sāla+pupphakaṃ
sālarukkhamūle,sāla+rukkha+mūle
sālarājamūle,sāla+rāja+mūle
sālasuttaṃ,sāla+suttaṃ
sālavanaṃ,sāla+vanaṃ
sālavane,sāla+vane
sāleyyakasuttaṃ,sāleyyaka+suttaṃ
sāleyyavaggo,sāleyya+vaggo
sālikkhettaṃ,sāli+khettaṃ
sālikkhette,sāli+khette
sālimaṃsodano,sāli+maṃsa+odano
sālisūkaṃ,sāli+sūkaṃ
sālivibhāgo,sāli+vibhāgo
sālāhāraṃ,sāli+āhāraṃ
sāmagāmasuttaṃ,sāmagāma+suttaṃ
sāmagāmo,sāma+gāmo
sāmakasuttaṃ,sāmaka+suttaṃ
sāmañca,sāmañ+ca
sāmaññagato,sāmañña+gato
sāmaññameva,sāmaññam+eva
sāmaññaphalapucchā,sāmañña+phala+pucchā
sāmaññaphalaṃ,sāmañña+phalaṃ
sāmaññaphalehi,sāmañña+phalehi
sāmaññaphalā,sāmañña+phalā
sāmaññaphalāni,sāmañña+phalāni
sāmaññaphalānī,sāmañña+phalānī
sāmaññappattā,sāmañña+pattā
sāmaññasambhūtāni,sāmañña+sambhūtāni
sāmaññasaṅkhātā,sāmañña+saṅkhātā
sāmaññasuttaṃ,sāmañña+suttaṃ
sāmaññatthañca,sāmañña+atthañ+ca
sāmaññatthaṃ,sāmañña+atthaṃ
sāmaññatthikānaṃ,sāmañña+atthikānaṃ
sāmaññattho,sāmañña+attho
sāmaññavaggo,sāmañña+vaggo
sāmaññañca,sāmaññañ+ca
sāmaññaṅganti,sāmañña+aṅgan+ti
sāmaññeva,sāmaññ+eva
sāmaṃyeva,sāmaṃ+yeva
sāmaṇerapesako,sāmaṇera+pesako
sāmaṇerasuttaṃ,sāmaṇera+suttaṃ
sāmaṇḍakasaṃyuttaṃ,sāmaṇḍaka+saṃyuttaṃ
sāmaṇḍakasuttaṃ,sāmaṇḍaka+suttaṃ
sāmikampi,sāmikam+pi
sāmikepi,sāmike+pi
sāmisañca,sāmisañ+ca
sāmugiyasuttaṃ,sāmugiya+suttaṃ
sāmākabhakkho,sāmāka+bhakkho
sāmākabhakkhopi,sāmāka+bhakkho
sāmākabhakkhāpi,sāmāka+bhakkhā
sāmāyikampi,sāmāyikam+pi
sāmīcikamma,sāmīci+kamma
