anāpattibahulo,an+āpatti+bahulo
anāsavagāmiñca,anāsava2+gāmiñ2+ca
anāvattidhammaṃ,anāvatti+dhammaṃ1
anāvilasaṅkappā,anāvila+saṅkappā
anāvuṭṭhapubbo,anāvuṭṭha+pubbo
anītikadhammagāmiñca,anītika+dhamma2+gāmiñ2+ca
anītikadhammañca,anītika+dhammañ+ca
anītikagāmiñca,anītika1+gāmiñ2+ca
anītikañca,anītikañ+anatañ+ca+anata1+gāmiñ2+ca
apacayārāmā,apacayā+rāmā2
apaccanīkatā,a+paccanīkatā
apalokitagāmiñca,apalokita+gāmiñ2+ca
apalokitañca,apalokitañ+ca
apalāyī,a+palāyī1
aparampi,aparam+pi
aparavambhanā,apara3+vambhanā
aparavambhī,apara6+vambhī
aparavambhīhamasmi,apara6+vambhī+aham+asmi
aparaṃkārā,aparaṃ+kāra
aparihānañhetaṃ,aparihānañ+hi+etaṃ
aparipakkavedanīyaṃ,aparipakka1+vedanīyaṃ
aparisuddhadhammadesano,aparisuddha+dhammadesano
aparisuddhavacīkammantā,aparisuddha+kāya+kammantā4
aparisuddhavacīsamācāratā,aparisuddha+vacī1+samācāratā
aparisuddhavacīsamācāro,aparisuddha+vacī1+samācāro
aparisuddhaveyyākaraṇo,aparisuddha+veyyākaraṇo1
aparisuddhañāṇadassano,aparisuddha+ñāṇa+dassano
aparisuddhājīvasandosahetu,aparisuddha1+jīva+sandosa1+hetu24
aparisuddhājīvo,aparisuddha+jīvo
aparittañca,aparittañ+ca
aparopi,aparo1+pi
apetajātarūparajatā,apeta1+jātarūpa+rajatā
aphāsuvihārāya,aphāsu+vihārāyā
appabhogasaṃvattanikā,appa+bhoga3+appa1+āyuka+saṃvattanikā1
appadukkhavihāriṃ,appa8+dukkha10+vihāriṃ1
appakiccaṃ,appa+kiccaṃ5
appamattakoyaṃ,appamattako+ayaṃ
appamattānusikkhare,appamattaṃ+anusikkhare
appamattāya,appa12+mattāya7
appamāyu,appam1+āyu1
appamāṇasaññiṃ,appamāṇa2+saññiṃ
appamāṇasaññī,appamāṇa2+saññī
appamāṇavihārī,appamāṇa3+vihārī
appamāṇañceva,appamāṇañ+ceva
appasamārambhaṃ,appa+samārambhaṃ1
appasamārambho,appa+samārambho
appasannacitto,apasanna+citto
appatiṭṭhitañca,appatiṭṭhitañ+ca
appattova,appatto+eva
appavedanīyaṃ,appa1+vedanīyaṃ1
appaṇidhānapaccayā,appaṇidhāna+paccaya
appaṭicchannakammantassa,appaṭicchanna+kammantassa1
appaṭikammāpattīti,appaṭikammā+pattī+ti
appaṭiladdhapubbaṃ,appaṭiladdha+pubbaṃ
appaṭilābhato,a+paṭilābhato
appaṭilābhaṃ,a+paṭilābhaṃ
appaṭṭhataro,appa+attha45+taro
appaṭṭhaṃ,appa+aṭṭham
appesakkhasaṃvattanikā,appesakkha+saṃvattanikā4
appevanāmāhaṃ,appi+eva+nāma22+ahaṃ
appicchassa,appa+icchassa
appicchataṃ,appa1+icchataṃ
appicchohamasmi,appa+iccho1+aham+asmi
appitthikāni,appa+itthikāni1
appābādhasaṃvattanikā,appa+ābādha2+saṃvattanikā1
appābādhā,appa+ābādhā5
appāṇakaṃyeva,appāṇakaṃ+yeva
apuññūpagaṃ,apuñña+upagaṃ
apāradassī,apāra+dassī
apārāpi,apāra+api
apāsāṇasakkharikañca,a+pāsāṇa+sakkharikañ+ca
apāṇātipātaṃ,a+pāṇātipātaṃ
apūtikāyakammantassa,a+pūti1+kāya+kammantassa
apūtimanokammantassa,a+pūti1+mano+kammantassa
apūtivacīkammantassa,a+pūti1+vacī+kammantassa
arahantamhāti,arahanto1+amhā+ti
arahantāmhāti,arahanto1+amhā+ti
arahattaphalampi,arahatta+phalam+pi
arahattappatte,arahatta3+patte3
arahatāpi,arahatā+pi
arajāpi,arajā+pi
arakkhitakāyakammantassa,arakkhita+kāya+kammantassa
arakkhitamanokammantassa,arakkhita+mano+kammantassa
arakkhitavacīkammantassa,arakkhita+vacī+kammantassa
araññagatāpi,arañña2+gatā3+pi
araññasaññaṃyeva,arañña3+saññaṃ+yeva
araññavanamajjhogāhasi,arañña7+ajjhogāhasi
araññavihārena,arañña4+vihārena
ariyadhammassavanaṃ,ariya1+dhamma+savanaṃ
ariyamaggaṃ,ariya1+maggaṃ
ariyappatto,ariya1+patto
ariyappattā,ariya+pattā1
ariyasaccānīti,ariya1+saccānī+ti
ariyūpavādo,ariya6+upavādo
arānampi,arānam+pi
arūpabhavāyā,arūpa6+bhavāyā
arūpadhātuvepakkañca,arūpa+dhātu8+vepakkañ+ca
arūpassapi,arūpassa+pi
arūpiñca,arūpiṃ+ca
arūpārammaṇaṃ,arūpa8+ārammaṇaṃ
asaddhammasaññattiyā,asaddhamma+saññattiyā
asadosadhammaṃ,asadosa+asarāga+dhammaṃ1
asajjhāyakatāpi,a+sajjhāya2+katā+pi
